id,type,URL,rgb_color
,brush-rest,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f72713ca_c58b_4923_9a56_a3bc0069bcbb/mid_00389502_001.jpg,"rgb(0, 32, 32): 0.38; rgb(0, 0, 32): 0.24; rgb(32, 32, 32): 0.16; rgb(64, 64, 64): 0.09; rgb(64, 64, 96): 0.07; rgb(32, 64, 64): 0.06"
,brush-rest,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/bcd38f0b_a332_489a_9217_a3bb017a2b16/mid_00387148_001.jpg,"rgb(32, 32, 32): 0.40; rgb(64, 96, 128): 0.19; rgb(96, 128, 160): 0.15; rgb(64, 64, 64): 0.13; rgb(32, 32, 64): 0.13"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2016_5/31_15/0884d667_2389_41e7_a6b6_a6170102df7e/mid_Franks_1003__1_.jpg,"rgb(32, 32, 64): 0.31; rgb(64, 64, 96): 0.14; rgb(64, 64, 64): 0.11; rgb(32, 32, 32): 0.11; rgb(96, 96, 96): 0.11; rgb(32, 64, 64): 0.09; rgb(128, 128, 128): 0.08; rgb(96, 96, 128): 0.06"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/c1eb5681_950c_43f7_b076_a3bb01651b4e/mid_00380220_001.jpg,"rgb(32, 32, 32): 0.89; rgb(32, 32, 64): 0.11"
,cup-stand,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/26868f2c_0b80_48ac_9552_a3bc006d0a91/mid_00390548_001.jpg,"rgb(64, 64, 64): 0.51; rgb(64, 64, 96): 0.30; rgb(96, 96, 96): 0.10; rgb(64, 96, 96): 0.08"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/2caee4b3_6520_497c_b964_a3bc006ce1a7/mid_00390528_001.jpg,"rgb(0, 0, 0): 0.33; rgb(0, 0, 32): 0.23; rgb(32, 32, 64): 0.15; rgb(0, 32, 32): 0.11; rgb(32, 64, 64): 0.10; rgb(160, 160, 160): 0.07"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/2caee4b3_6520_497c_b964_a3bc006ce1a7/mid_00390528_001.jpg,"rgb(0, 0, 0): 0.33; rgb(0, 0, 32): 0.23; rgb(32, 32, 64): 0.15; rgb(0, 32, 32): 0.11; rgb(32, 64, 64): 0.10; rgb(160, 160, 160): 0.07"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/1e45fead_1e61_4d8b_9f63_a3bb016b6ece/mid_00382193_001.jpg,"rgb(0, 32, 32): 0.35; rgb(96, 128, 160): 0.22; rgb(32, 64, 64): 0.19; rgb(32, 32, 64): 0.13; rgb(0, 32, 64): 0.11"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/dae9ae7a_9d72_472d_8028_a3bc00696899/mid_00389512_001.jpg,"rgb(32, 32, 32): 0.51; rgb(0, 32, 32): 0.25; rgb(32, 32, 64): 0.13; rgb(64, 64, 96): 0.11"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_11/12_21/6eabd05d_3150_4310_a201_a3e1015f82f3/mid_00133238_001.jpg,"rgb(64, 64, 96): 0.25; rgb(96, 96, 128): 0.22; rgb(64, 96, 128): 0.19; rgb(128, 128, 160): 0.18; rgb(64, 96, 96): 0.16"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/db1bcf36_0267_40dd_95c6_a3bb0164a871/mid_00380070_001.jpg,"rgb(32, 64, 64): 0.51; rgb(32, 32, 64): 0.41; rgb(64, 96, 96): 0.09"
,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/8f3e0887_deb9_4dfa_8de7_a3bb016bcf70/mid_00382238_001.jpg,"rgb(0, 0, 0): 0.48; rgb(0, 0, 32): 0.39; rgb(32, 32, 64): 0.13"
第五页,,,
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/63ddddb8_b5ae_4246_b762_a3bb016bf21e/mid_00382356_001.jpg,"rgb(64, 64, 64): 0.51; rgb(32, 32, 32): 0.33; rgb(0, 32, 64): 0.16"
